Optimizing Partition Granularity, Membership Function Parameters, and Rule Bases of Fuzzy Classifiers for Big Data by a Multi-objective Evolutionary Approach.|https://doi.org/10.1007/s12559-018-9613-6|j|2019
An effective Decision Support System for social media listening based on cross-source sentiment analysis models.|https://doi.org/10.1016/j.engappai.2018.10.014|j|2019
Monitoring the public opinion about the vaccination topic from tweets analysis.|https://doi.org/10.1016/j.eswa.2018.09.009|j|2019
Smartphones and Exergame Controllers as BYOD Solutions for the e-tivities of an Online Sport and Exercise Sciences University Program.|https://doi.org/10.1007/978-3-030-31284-8_17|c|2019
Exploiting Online Newspaper Articles Metadata for Profiling City Areas.|https://doi.org/10.1007/978-3-030-33617-2_22|c|2019
Higher Education Learning Methodologies and Technologies Online - First International Workshop, HELMeTO 2019, Novedrate, CO, Italy, June 6-7, 2019, Revised Selected Papers.|https://doi.org/10.1007/978-3-030-31284-8|e|2019
Smart Audio Sensors in the Internet of Things Edge for Anomaly Detection.|https://doi.org/10.1109/ACCESS.2018.2877523|j|2018
A glimpse on big data analytics in the framework of marketing strategies.|https://doi.org/10.1007/s00500-017-2536-4|j|2018
A Distributed Fuzzy Associative Classifier for Big Data.|https://doi.org/10.1109/TCYB.2017.2748225|j|2018
An Integrated Topology Control Framework to Accelerate Consensus in Broadcast Wireless Sensor Networks.|https://doi.org/10.1109/TWC.2018.2867486|j|2018
Smart Profiling of City Areas Based on Web Data.|https://doi.org/10.1109/SMARTCOMP.2018.00070|c|2018
Fuzzy Models for Big Data Mining.|https://doi.org/10.1007/978-3-030-12544-8_24|c|2018
A distributed approach to multi-objective evolutionary generation of fuzzy rule-based classifiers from big data.|https://doi.org/10.1016/j.ins.2017.06.039|j|2017
Multi-objective evolutionary granular rule-based classifiers: An experimental comparison.|https://doi.org/10.1109/FUZZ-IEEE.2017.8015518|c|2017
A novel approach for internet traffic classification based on multi-objective evolutionary fuzzy classifiers.|https://doi.org/10.1109/FUZZ-IEEE.2017.8015662|c|2017
On the influence of feature selection in fuzzy rule-based regression model generation.|https://doi.org/10.1016/j.ins.2015.09.045|j|2016
Educational Big Data Mining: How to Enhance Virtual Learning Environments.|https://doi.org/10.1007/978-3-319-47364-2_66|c|2016
A novel associative classification model based on a fuzzy frequent pattern mining algorithm.|https://doi.org/10.1016/j.eswa.2014.09.021|j|2015
